session,map_msgs_s,flat_msgs_s,ratio
MSFT_2024-02-01,14024590.436,1568852.529,8.939393714041048
MSFT_2024-04-01,13230429.697,1657937.749,7.980052149111179
MSFT_2024-06-03,14027171.473,1545175.624,9.078043463232888
MSFT_2024-10-01,14035169.468,1846847.136,7.599529595285357
MSFT_2024-12-02,14750305.719,1900238.288,7.7623452869822405
INTC_2024-02-01,18894587.286,10511539.884,1.7975089753272155
INTC_2024-04-01,18609051.554,11367215.745,1.637080879914275
INTC_2024-08-02,18326136.507,8932625.804,2.0515956796033725
INTC_2024-10-01,18605660.195,13039792.819,1.426837101881718
INTC_2024-12-02,19073428.121,12080759.88,1.578826854474323
AAPL_2024-02-01,16295989.932,3614803.502,4.508126077388093
AAPL_2024-04-01,17667585.44,7695069.926,2.2959616494588304
AAPL_2024-06-03,16734826.219,4683932.124,3.5728156975743572
AAPL_2024-08-01,15800024.774,2643730.821,5.976412064532194
AAPL_2024-10-01,15565362.772,2886428.103,5.392603666733354
