metric,value,n_sessions,units,scope
queue_absolute_front_back_below_0.05_tick,12,15,sessions,three_names_fifteen_symbol_days_2024_descriptive
queue_front_edge_greater_than_back,8,15,sessions,three_names_fifteen_symbol_days_2024_descriptive
latency_negative_net_at_every_delay,9,15,sessions,three_names_fifteen_symbol_days_2024_descriptive
hawkes_median_gap_within_factor_two,7,15,sessions,three_names_fifteen_symbol_days_2024_descriptive
hawkes_queue_ratio_further_from_one,13,15,sessions,three_names_fifteen_symbol_days_2024_descriptive
hawkes_lob_bench_timing_improves,15,15,sessions,three_names_fifteen_symbol_days_2024_descriptive
lob_bench_timing_mean_base_l1,0.6783101774665629,15,L1 distance,three_names_fifteen_symbol_days_2024_descriptive
lob_bench_timing_mean_hawkes_l1,0.3159267904116187,15,L1 distance,three_names_fifteen_symbol_days_2024_descriptive
hawkes_classifier_minimum_auc,0.993939078162351,15,AUC,three_names_fifteen_symbol_days_2024_descriptive
ofi_h10_pca_contemporaneous_beats_l1,15,15,sessions,three_names_fifteen_symbol_days_2024_descriptive
ofi_h100_l1_predictive_beats_pca,12,15,sessions,three_names_fifteen_symbol_days_2024_descriptive
