session,latency_s,latency,quotes,fills,fill_rate,crossed_share,alone_share,median_ahead,gross_ticks,adverse_ticks,net_ticks,net_total_ticks
MSFT_2024-02-01,0.0,0,273428,1653,0.006045467179659728,7.314539842298522e-05,0.004696278089887641,100.0,1.8339382940108893,1.8030852994555353,0.030852994555353903,51.0
MSFT_2024-02-01,1e-05,10us,273427,5355,0.01958475205447889,9.874664901417929e-05,0.008767373811265545,100.0,1.1895424836601307,1.6947712418300653,-0.5052287581699346,-2705.5
MSFT_2024-02-01,0.0001,100us,273344,4824,0.017648091781784125,0.001529208616249122,0.08463099887881696,100.0,0.9808250414593698,1.5443615257048093,-0.5635364842454395,-2718.5
MSFT_2024-02-01,0.001,1ms,271072,5700,0.02102762365718333,0.007079299964585055,0.17801770740062345,77.0,0.12929824561403508,0.9374561403508772,-0.8081578947368421,-4606.5
MSFT_2024-02-01,0.01,10ms,268942,6322,0.023506927144142604,0.011548958511500621,0.2621691569238177,50.0,-0.8924391015501424,0.43846883897500794,-1.3309079405251503,-8414.0
MSFT_2024-02-01,0.1,100ms,262337,8240,0.0314099802925245,0.021784955991720572,0.3308173110645229,50.0,-2.4054611650485436,-0.5867718446601942,-1.8186893203883494,-14986.0
MSFT_2024-04-01,0.0,0,232263,1419,0.0061094535074463,1.2916392193332558e-05,0.004426074227159218,100.0,1.533474277660324,1.7526427061310783,-0.21916842847075405,-311.0
MSFT_2024-04-01,1e-05,10us,232259,4749,0.020447000977357174,3.444430571043533e-05,0.008990273454150897,100.0,0.9676774057696357,1.4058749210360075,-0.43819751526637185,-2081.0
MSFT_2024-04-01,0.0001,100us,232169,4217,0.01816349297279137,0.0010251153254741158,0.08968184503149644,80.0,0.8291439411904197,1.629475930756462,-0.8003319895660422,-3375.0
MSFT_2024-04-01,0.001,1ms,230845,4765,0.0206415560224393,0.004981697675929736,0.19070506541283005,51.0,0.20157397691500525,1.7623294858342078,-1.5607555089192025,-7437.0
MSFT_2024-04-01,0.01,10ms,229170,5378,0.023467295021163327,0.011162019461535106,0.27918203802093444,50.0,-0.8425065079955374,1.4307363332093714,-2.273242841204909,-12225.5
MSFT_2024-04-01,0.1,100ms,224732,7079,0.03149974191481409,0.021790399231084136,0.3348420406213751,50.0,-2.2579460375759286,1.358949004096624,-3.6168950416725525,-25604.0
MSFT_2024-06-03,0.0,0,136699,1710,0.012509235619865545,7.315342467757628e-05,0.00673792331497048,50.0,2.1026315789473684,1.481578947368421,0.6210526315789474,1062.0
MSFT_2024-06-03,1e-05,10us,136694,5589,0.04088694456230705,0.00013168098087699534,0.012643039011969915,50.0,1.5459831812488818,1.4929325460726426,0.05305063517623904,296.5
MSFT_2024-06-03,0.0001,100us,136606,4344,0.031799481721154266,0.0011932125968112674,0.07789333274700791,60.0,1.412523020257827,1.588743093922652,-0.17622007366482503,-765.5
MSFT_2024-06-03,0.001,1ms,135303,4029,0.02977761025254429,0.004345801645196337,0.13579037226737928,57.0,0.9162323157110945,1.2741375031025068,-0.35790518739141225,-1442.0
MSFT_2024-06-03,0.01,10ms,133362,4308,0.03230305484320871,0.011637497937943343,0.20047037402321524,50.0,-0.33646703806870937,0.9699396471680595,-1.3064066852367688,-5628.0
MSFT_2024-06-03,0.1,100ms,129853,5230,0.04027631244561158,0.02361131433236044,0.27826196692089883,50.0,-1.9978967495219886,0.8041108986615679,-2.8020076481835563,-14654.5
MSFT_2024-10-01,0.0,0,252126,1592,0.006314303165877379,3.1730166662700394e-05,0.005985292601083619,50.0,2.1557788944723617,1.7754396984924623,0.3803391959798995,605.5
MSFT_2024-10-01,1e-05,10us,252120,5410,0.021458035855941616,5.156274789782643e-05,0.011007231056654515,50.0,1.4235674676524954,1.28909426987061,0.1344731977818854,727.5
MSFT_2024-10-01,0.0001,100us,251916,4099,0.016271296781466837,0.001333777925975325,0.09005485332697352,50.0,1.179190046352769,1.2398145889241279,-0.060624542571358866,-248.5
MSFT_2024-10-01,0.001,1ms,249448,4407,0.017667008755331774,0.004445816362528463,0.15623401882104704,47.0,0.45620603585205355,0.7167007034263672,-0.2604946675743136,-1148.0
MSFT_2024-10-01,0.01,10ms,246811,4983,0.02018953774345552,0.009274303009185166,0.2606554829422301,25.0,-0.5335139474212321,0.24613686534216336,-0.7796508127633955,-3885.0
MSFT_2024-10-01,0.1,100ms,240282,6979,0.02904503874613995,0.020838015331984917,0.34781851025395816,19.0,-2.332640779481301,-0.2875053732626451,-2.0451354062186557,-14273.0
MSFT_2024-12-02,0.0,0,84423,961,0.011383153879866862,0.00023690226597017402,0.012084878499579399,95.0,2.350156087408949,2.1592091571279917,0.19094693028095733,183.5
MSFT_2024-12-02,1e-05,10us,84423,3116,0.03690937303815311,0.0003316631723582436,0.019704958824574917,85.0,1.737163029525032,1.9866816431322207,-0.24951861360718872,-777.5
MSFT_2024-12-02,0.0001,100us,84363,2700,0.03200455175847232,0.0023825610753529392,0.11255673581901571,48.0,1.4753703703703704,1.9444444444444444,-0.4690740740740741,-1266.5
MSFT_2024-12-02,0.001,1ms,83462,2872,0.03441086961731087,0.007692123361529798,0.20246317314658296,27.0,0.6615598885793872,1.8706476323119776,-1.2090877437325904,-3472.5
MSFT_2024-12-02,0.01,10ms,82003,3326,0.040559491725912465,0.018096898893942906,0.26775046883344306,19.0,-1.0411906193625977,1.9028863499699338,-2.9440769693325315,-9792.0
MSFT_2024-12-02,0.1,100ms,79814,3970,0.04974064700428496,0.030821660360337785,0.3179279675259198,10.0,-3.517506297229219,1.01183879093199,-4.529345088161209,-17981.5
INTC_2024-02-01,0.0,0,24142,1133,0.04693066026012758,0.0,0.0011598044901002403,392.0,0.5154457193292145,0.8261253309796999,-0.3106796116504854,-352.0
INTC_2024-02-01,1e-05,10us,24142,2334,0.09667798856764145,0.0002899511225250601,0.007748083695877357,413.0,0.19730077120822623,0.50471293916024,-0.3074121679520137,-717.5
INTC_2024-02-01,0.0001,100us,24142,1846,0.07646425316875155,0.03023775992047055,0.049376388177003246,901.0,-0.07936078006500542,0.271397616468039,-0.3507583965330444,-647.5
INTC_2024-02-01,0.001,1ms,24139,3826,0.1584986950577903,0.12411450350055926,0.0344321997824339,1001.0,-0.35467851542080503,-0.008625196027182437,-0.3460533193936226,-1324.0
INTC_2024-02-01,0.01,10ms,24132,4320,0.1790154152163103,0.14176197579976793,0.04360001931340833,819.0,-0.3832175925925926,0.01238425925925926,-0.39560185185185187,-1709.0
INTC_2024-02-01,0.1,100ms,24075,4760,0.1977154724818276,0.16581516095534787,0.05397599960165314,831.0,-0.5012605042016807,-0.10714285714285714,-0.3941176470588235,-1876.0
INTC_2024-04-01,0.0,0,19372,1506,0.077741069584968,5.162089613875697e-05,0.001135718341851221,303.0,0.5079681274900398,0.7148074369189907,-0.20683930942895087,-311.5
INTC_2024-04-01,1e-05,10us,19372,2690,0.13886021061325624,0.00046458806524881275,0.010793781955275526,401.0,0.22695167286245352,0.483457249070632,-0.25650557620817843,-690.0
INTC_2024-04-01,0.0001,100us,19372,1784,0.09209167871154243,0.020958083832335328,0.04639881893915428,785.0,0.05521300448430493,0.4439461883408072,-0.38873318385650224,-693.5
INTC_2024-04-01,0.001,1ms,19372,3383,0.17463349163741482,0.11805698946933718,0.029265437518290898,804.0,-0.2791900679869938,0.07419450192137156,-0.35338456990836536,-1195.5
INTC_2024-04-01,0.01,10ms,19342,4006,0.20711405232137317,0.1474511425912522,0.0335961188599151,727.0,-0.3676984523215177,0.010234648027958064,-0.3779331003494758,-1514.0
INTC_2024-04-01,0.1,100ms,19319,4405,0.22801387235364148,0.16967751954034888,0.046942210585374976,722.0,-0.4368898978433598,0.11997729852440409,-0.5568671963677639,-2453.0
