session,contemp_h10_pca,contemp_h10_l1,contemp_h10_sum,contemp_h50_pca,contemp_h50_l1,contemp_h50_sum,contemp_h100_pca,contemp_h100_l1,contemp_h100_sum,contemp_h500_pca,contemp_h500_l1,contemp_h500_sum,pred_h10_pca,pred_h10_l1,pred_h10_sum,pred_h50_pca,pred_h50_l1,pred_h50_sum,pred_h100_pca,pred_h100_l1,pred_h100_sum,pred_h500_pca,pred_h500_l1,pred_h500_sum
MSFT_2024-02-01,0.0018,0.0009,0.0018,0.0186,0.0118,0.0185,0.0347,0.0239,0.0347,0.1678,0.1168,0.1679,0.0,0.0,0.0,0.0037,0.0037,0.0037,0.0077,0.0054,0.0077,0.0001,0.002,0.0001
MSFT_2024-04-01,0.0326,0.0148,0.0319,0.157,0.095,0.1551,0.2641,0.1633,0.2613,0.4216,0.2315,0.4189,0.0005,0.0015,0.0005,0.0059,0.007,0.0056,0.004,0.0034,0.0039,0.0006,0.0006,0.0005
MSFT_2024-06-03,0.2231,0.1121,0.2206,0.443,0.2852,0.4398,0.5195,0.3519,0.5171,0.5997,0.413,0.5999,0.0145,0.0168,0.0141,0.0239,0.0262,0.0234,0.0115,0.0124,0.0113,0.0038,0.0012,0.0038
MSFT_2024-10-01,0.1274,0.0601,0.1263,0.408,0.2675,0.4063,0.5341,0.3606,0.5326,0.7172,0.4475,0.7153,0.0066,0.0108,0.0064,0.0078,0.0076,0.0077,0.0014,0.0017,0.0013,0.0003,0.0,0.0003
MSFT_2024-12-02,0.0115,0.0089,0.0089,0.0997,0.0662,0.0859,0.1942,0.1214,0.1719,0.4405,0.1851,0.4439,0.0004,0.0004,0.0003,0.0168,0.0163,0.0142,0.011,0.0105,0.0093,0.0006,0.0003,0.0009
INTC_2024-02-01,0.1154,0.03,0.1152,0.2406,0.1427,0.2461,0.2736,0.185,0.2833,0.2724,0.1856,0.2831,0.0,0.0048,0.0,0.0001,0.0103,0.0005,0.0,0.0022,0.0,0.0002,0.0,0.0001
INTC_2024-04-01,0.0441,0.0104,0.0414,0.1472,0.0848,0.1455,0.2407,0.1572,0.2363,0.3965,0.3191,0.3981,0.0003,0.0058,0.0003,0.0011,0.0275,0.0015,0.0002,0.0178,0.0002,0.0001,0.0012,0.0
INTC_2024-08-02,0.1029,0.0163,0.1018,0.2658,0.1078,0.2645,0.3866,0.2031,0.3849,0.4711,0.3423,0.4694,0.0003,0.0013,0.0002,0.0013,0.0152,0.0013,0.0042,0.0189,0.0042,0.0035,0.0077,0.0035
INTC_2024-10-01,0.0294,0.0079,0.0294,0.187,0.137,0.1903,0.2753,0.2454,0.2821,0.4399,0.4562,0.4529,0.0001,0.0056,0.0,0.0026,0.0366,0.0044,0.0001,0.014,0.0006,0.0005,0.0009,0.0002
INTC_2024-12-02,0.1632,0.0364,0.1641,0.2183,0.1045,0.2185,0.241,0.1397,0.2409,0.3075,0.2298,0.3073,0.0,0.0033,0.0,0.0013,0.009,0.0019,0.0026,0.008,0.0033,0.0002,0.0002,0.0002
AAPL_2024-02-01,0.0529,0.0274,0.0491,0.0654,0.0498,0.0603,0.071,0.0578,0.0654,0.0911,0.0764,0.0853,0.0004,0.0,0.0004,0.0,0.0011,0.0,0.0,0.0005,0.0,0.0,0.0004,0.0
AAPL_2024-04-01,0.006,0.0034,0.0053,0.0272,0.0284,0.0239,0.0532,0.0607,0.0467,0.1837,0.2024,0.1647,0.0001,0.0074,0.0,0.0002,0.0139,0.0,0.0,0.0052,0.0,0.0008,0.0,0.0011
AAPL_2024-06-03,0.1376,0.106,0.0673,0.2865,0.2679,0.1278,0.3429,0.3203,0.1599,0.3884,0.3776,0.1853,0.0013,0.0113,0.0001,0.0085,0.0165,0.0011,0.0076,0.0109,0.0021,0.002,0.0021,0.0009
AAPL_2024-08-01,0.1008,0.0327,0.101,0.1441,0.0854,0.1444,0.1694,0.1148,0.1697,0.1777,0.1417,0.1781,0.0002,0.0004,0.0002,0.0044,0.0056,0.0045,0.0034,0.0048,0.0035,0.0005,0.0028,0.0005
AAPL_2024-10-01,0.3712,0.1341,0.3563,0.5156,0.3134,0.503,0.5546,0.3782,0.5442,0.5686,0.417,0.565,0.0006,0.0044,0.0009,0.0015,0.0074,0.0011,0.0004,0.003,0.0003,0.0001,0.0001,0.0001
