session,historical_front_minus_back_score,direct_front_payoff_ticks,direct_back_payoff_ticks,direct_front_minus_back_ticks,orders,observed_orders,missing_mark_orders,partial_fill_orders,remaining_qty_at_close
AAPL_2024-02-01,0.0172700727083096,-0.04055694073587506,-0.05060714718804115,0.010050206452166088,521810,521565,245,5637,4288.0
AAPL_2024-04-01,0.0197170441594316,-0.06634761955054926,-0.029921286129147063,-0.036426333421402196,399695,398683,1012,3301,21056.0
AAPL_2024-06-03,-0.066931627642711,-0.1669111174771022,-0.03699068626893951,-0.12992043120816268,493182,492784,398,6930,9565.0
AAPL_2024-08-01,-0.0245465391581228,-0.15703732833581976,-0.056154710371439626,-0.10088261796438014,604941,604702,239,8193,12042.0
AAPL_2024-10-01,0.0125794111095162,-0.024089691898492426,-0.007101993410552905,-0.01698769848793952,1014799,1014305,494,8922,1732.0
INTC_2024-02-01,0.0488908500605248,-0.049594027784695814,-0.022274736574960565,-0.02731929120973525,337794,337671,123,1495,55246.0
INTC_2024-04-01,0.0125032006549678,-0.06656616751175407,-0.01863126597631951,-0.04793490153543456,291622,291405,217,1731,126543.0
INTC_2024-08-02,-0.0097521892390585,-0.18156018154568276,-0.05528490431748008,-0.1262752772282027,552156,552039,117,5625,77733.0
INTC_2024-10-01,-0.0115364048364854,-0.09883974724420364,-0.016910903009163793,-0.08192884423503985,355105,354880,225,1924,127878.0
INTC_2024-12-02,0.033458820074564,-0.06422781090921738,-0.03884299440218797,-0.02538481650702941,367804,367626,178,3595,123398.0
MSFT_2024-02-01,-0.0098545958275593,-0.020491669472603776,-0.12162744732421454,0.10113577785161076,320238,319895,343,3108,4831.0
MSFT_2024-04-01,-0.0120230415747271,-0.077608089500283,-0.12664337555535699,0.049035286055073984,315354,314716,638,1910,4829.0
MSFT_2024-06-03,-3.813557796675249e-05,-0.07705968437676049,-0.08938035318696945,0.012320668810208962,316151,315732,419,2759,2895.0
MSFT_2024-10-01,0.0612500522320982,0.04788440332727796,0.008007483494707505,0.039876919832570454,325340,325071,269,3363,33883.0
MSFT_2024-12-02,0.3857902986220246,-0.0454174250112056,-0.34582584013679424,0.30040841512558863,107691,107260,431,1561,13334.0
