session,decile,horizon_s,fee_ticks,orders,observed_orders,missing_mark_orders,original_qty,executed_qty,missing_mark_qty,remaining_qty_at_close,partial_fill_orders,gross_payoff_ticks,net_payoff_ticks,net_payoff_lo,net_payoff_hi
MSFT_2024-02-01,0,10.0,0.0,165926,165777,149,13133482.0,1514661.0,25427.0,1188.0,2010,-0.020491669472603776,-0.020491669472603776,-0.04595618275455461,0.003959432074891341
MSFT_2024-02-01,1,10.0,0.0,9007,9000,7,890365.0,100889.0,3686.0,0.0,71,-0.016323454300554215,-0.016323454300554215,-0.07383625392682579,0.04340355256883467
MSFT_2024-02-01,2,10.0,0.0,8442,8433,9,877919.0,107658.0,1850.0,100.0,69,-0.0303653714265007,-0.0303653714265007,-0.12465476690401919,0.0590600057640957
MSFT_2024-02-01,3,10.0,0.0,24927,24902,25,2446397.0,194961.0,2894.0,932.0,253,-0.020084291644095427,-0.020084291644095427,-0.0646609173557522,0.022950429267550712
MSFT_2024-02-01,4,10.0,0.0,6576,6563,13,622976.0,103367.0,1897.0,100.0,57,0.03191641515897287,0.03191641515897287,-0.10482956779054554,0.17805400285598177
MSFT_2024-02-01,5,10.0,0.0,22865,22840,25,2080271.0,241902.0,4308.0,500.0,252,-0.0432897042105371,-0.0432897042105371,-0.1454135094984266,0.05101346233371065
MSFT_2024-02-01,6,10.0,0.0,25788,25754,34,1824649.0,172045.0,2197.0,1104.0,196,-0.03091028747605272,-0.03091028747605272,-0.09930468870103684,0.049045563617452936
MSFT_2024-02-01,7,10.0,0.0,20036,20018,18,1088467.0,103800.0,4648.0,556.0,91,-0.08816053297052594,-0.08816053297052594,-0.1460416449418578,-0.027927373650791128
MSFT_2024-02-01,8,10.0,0.0,15360,15331,29,615322.0,69826.0,3074.0,350.0,57,-0.07245685586897156,-0.07245685586897156,-0.1394890374381209,-0.004028795382247894
MSFT_2024-02-01,9,10.0,0.0,21311,21277,34,213053.0,35971.0,1532.0,1.0,52,-0.12162744732421454,-0.12162744732421454,-0.20808105128242915,-0.030053392472418918
MSFT_2024-04-01,0,10.0,0.0,142955,142674,281,11340052.0,821867.0,52194.0,412.0,1099,-0.077608089500283,-0.077608089500283,-0.1029747301085566,-0.05388672517566165
MSFT_2024-04-01,1,10.0,0.0,7024,7008,16,663802.0,48190.0,9838.0,0.0,44,-0.003014843383082124,-0.003014843383082124,-0.09139361798435298,0.07863355690734167
MSFT_2024-04-01,2,10.0,0.0,6724,6701,23,672704.0,61879.0,6308.0,0.0,59,-0.0029140944007917595,-0.0029140944007917595,-0.13441442224866892,0.10825972075551306
MSFT_2024-04-01,3,10.0,0.0,36957,36899,58,3743360.0,132132.0,11999.0,4300.0,118,-0.03066466841719022,-0.03066466841719022,-0.058380925331399214,-0.004877863101483805
MSFT_2024-04-01,4,10.0,0.0,12762,12749,13,1184116.0,86389.0,2390.0,0.0,71,-0.03726395577739815,-0.03726395577739815,-0.1043624716058253,0.021258182547895108
MSFT_2024-04-01,5,10.0,0.0,24410,24345,65,1828856.0,176426.0,5436.0,16.0,163,-0.018876299389997332,-0.018876299389997332,-0.0665247110760925,0.026518935375178184
MSFT_2024-04-01,6,10.0,0.0,24837,24779,58,1527921.0,148520.0,3961.0,0.0,172,-0.03357541157215302,-0.03357541157215302,-0.07549733608013777,0.017156656017754728
MSFT_2024-04-01,7,10.0,0.0,17809,17765,44,907346.0,88266.0,3835.0,0.0,69,-0.0879013014131759,-0.0879013014131759,-0.1509119958823807,-0.02681304000314496
MSFT_2024-04-01,8,10.0,0.0,17259,17233,26,610451.0,47711.0,1426.0,100.0,55,-0.05078046999510695,-0.05078046999510695,-0.09885033546105663,-0.006577207037985619
MSFT_2024-04-01,9,10.0,0.0,24617,24563,54,213666.0,24389.0,1932.0,1.0,60,-0.12664337555535699,-0.12664337555535699,-0.17242148065545945,-0.07241561838407606
MSFT_2024-06-03,0,10.0,0.0,80433,80254,179,4827300.0,726481.0,16562.0,1165.0,1206,-0.07705968437676049,-0.07705968437676049,-0.13317441790575252,-0.01673108589220269
MSFT_2024-06-03,1,10.0,0.0,7460,7450,10,468091.0,66358.0,4786.0,0.0,111,0.020291328446182602,0.020291328446182602,-0.0916928897188684,0.12454238506364555
MSFT_2024-06-03,2,10.0,0.0,8652,8645,7,578372.0,74106.0,3881.0,89.0,118,0.08141739424470978,0.08141739424470978,-0.00835865554536652,0.1759107529777484
MSFT_2024-06-03,3,10.0,0.0,13563,13534,29,966410.0,87411.0,2446.0,202.0,141,0.04971604794308824,0.04971604794308824,-0.020094263875286345,0.12116938800695327
MSFT_2024-06-03,4,10.0,0.0,10815,10804,11,700578.0,83857.0,1251.0,213.0,104,-0.08595900697246701,-0.08595900697246701,-0.21479113441549025,0.027882684070861606
MSFT_2024-06-03,5,10.0,0.0,24884,24853,31,1490021.0,132277.0,2525.0,50.0,211,-0.022095949754796604,-0.022095949754796604,-0.07212709013535348,0.03048767776654387
