session,decile,orders,fill_prob,median_ttf_s,median_life_s,median_own_size,adverse_1s,adverse_10s,adverse_60s,adverse_10s_lo,adverse_10s_hi,half_spread_ticks,edge_ticks
MSFT_2024-02-01,0,165926,0.11223678025143739,0.04251382700022077,0.012192151501949411,100.0,1.2478118455673093,1.15658057241046,0.7564570692154863,0.9117497806685491,1.4025069477482799,2.069856442028374,0.1025031430872462
MSFT_2024-02-01,1,9007,0.06983457310980348,0.3108872849988984,0.0016947080002864823,100.0,1.2567567567567568,2.014308426073132,2.1232114467408585,0.9701315425483304,3.163572786313955,1.9530920395248141,-0.004275020221926501
MSFT_2024-02-01,2,8442,0.09144752428334518,0.5266614784995909,0.0048478539974894375,100.0,2.1243523316062176,1.7882124352331605,1.5621761658031088,0.566655107187894,3.0583693947490707,2.2101990049751246,0.03858962708372379
MSFT_2024-02-01,3,24927,0.07951217555261363,0.5166592899950047,0.04350224199879449,100.0,1.7020686175580222,1.6062058526740666,2.6125126135216954,0.863722337010348,2.343210288098372,2.1610903839210494,0.044120076259939814
MSFT_2024-02-01,4,6576,0.15130778588807786,0.407343390994356,0.05282114849978825,100.0,1.8090452261306533,1.264321608040201,1.2221105527638192,0.2964814443524603,2.245068252219908,2.157162408759124,0.13509376470731876
MSFT_2024-02-01,5,22865,0.12048983162038049,0.4058889009975246,0.03600536000158172,100.0,1.731578947368421,1.6032667876588023,2.8551724137931034,0.7376056991589849,2.47821190788158,2.1639405204460966,0.06755548365751131
MSFT_2024-02-01,6,25788,0.09089498991779123,0.5185119700036012,0.12396369900307036,50.0,1.4658703071672354,1.5930034129692834,2.526877133105802,0.6869414740118902,2.371673144303733,2.1674616100511868,0.05221537203195213
MSFT_2024-02-01,7,20036,0.09348173288081453,0.4745543530007126,0.08993219599869917,40.0,1.796583021890016,2.1484249866524294,4.537106246663107,1.4587717497335337,2.8223673434801224,2.164928129367139,0.0015427423789504376
MSFT_2024-02-01,8,15360,0.13912760416666667,0.5905608260000008,0.10625840249849716,40.0,1.5493682732802996,1.8710809546092653,2.6408516612073,1.269753197860137,2.461808313906572,2.2,0.045761718750000034
MSFT_2024-02-01,9,21311,0.22542349021632022,0.768777006502205,0.10655181600304786,4.0,1.4224604496253122,1.5326810990840967,2.838676103247294,1.1199808974376397,1.9026730552638325,2.0311106940077894,0.11235773891480551
MSFT_2024-04-01,0,142955,0.0913364345423385,0.020892521002679132,0.0066558410035213456,100.0,1.4394960557555334,1.6993949605575553,1.9783640958872635,1.3985369505804277,2.0393046818796186,1.9788534853625266,0.025524745258147737
MSFT_2024-04-01,1,7024,0.06961845102505695,0.14107030400191434,0.0025150679975922685,100.0,1.1543967280163598,0.9406952965235174,3.754601226993865,-0.15846203346203344,2.289372823947926,1.8885250569476082,0.06598643975617603
MSFT_2024-04-01,2,6724,0.08848899464604403,0.10399546300322982,0.0020321394986240193,100.0,1.1663865546218488,1.2529411764705882,1.2512605042016807,-0.0766831877592057,2.8040538532187997,2.0194824509220703,0.06783046673090896
MSFT_2024-04-01,3,36957,0.0379089211786671,0.3738039910022053,0.0004547770004137419,100.0,1.6177730192719486,1.904710920770878,1.2109207708779444,1.2052558630662453,2.740890682530244,1.9795032064290932,0.0028352948617896365
MSFT_2024-04-01,4,12762,0.08180535966149506,0.3002149899984943,0.0010176849973504432,100.0,1.5502873563218391,1.564176245210728,2.9650383141762453,0.7443063834842737,2.500586985142817,1.8719636420623726,0.025178658698724106
MSFT_2024-04-01,5,24410,0.09786972552232691,0.6244939770040219,0.07203577999825939,73.0,1.3827961490163247,1.10108832147342,0.4742570113017999,0.45206068303537367,1.7283594301950544,2.0610200737402704,0.09394825711452297
MSFT_2024-04-01,6,24837,0.0977573781052462,0.5843718945034198,0.11408125500020105,50.0,1.4161861614497528,1.235172981878089,0.8344316309719935,0.6896604558814828,1.8224074640335823,2.086725449933567,0.08324553659615494
MSFT_2024-04-01,7,17809,0.10112864282104554,0.6103738800011342,0.10245666300033918,50.0,1.5602443087173792,1.8337034980566351,2.5541365907828983,1.2245126002138513,2.5842311776250546,2.036835307990342,0.02054244425237836
MSFT_2024-04-01,8,17259,0.09566023523958514,0.49383242400654126,0.09999764599342598,40.0,1.142640823743186,1.4772864930345246,0.38340399757722593,0.9313454795357778,2.1043425079155567,2.0676748363172837,0.056476687801137675
MSFT_2024-04-01,9,24617,0.14388430759231424,0.8358547190000536,0.08725996400607983,4.0,1.5894974590626765,1.6751835121400338,1.7974308300395256,1.3002048798426433,2.0441921675621044,1.9361416907015476,0.03754778683287492
MSFT_2024-06-03,0,80433,0.14997575621946216,0.0553255690028891,0.07171160799771314,50.0,1.4212053386388128,1.7665588991129901,3.136740445991876,1.3211726752872703,2.1650587636021914,2.5831623835987716,0.1224707251172029
MSFT_2024-06-03,1,7460,0.10442359249329759,0.20879197400063276,0.18861869650208973,50.0,1.4736842105263157,1.3093709884467266,0.689987163029525,0.32642769690810114,2.315691554246996,2.562131367292225,0.13081773929231144
MSFT_2024-06-03,2,8652,0.10922330097087378,0.2510253240034217,0.20002084549923893,50.0,1.4264550264550264,0.8994708994708994,3.055026455026455,0.0002894900316425134,1.7702848399503677,2.6712898751733705,0.19352391724905627
MSFT_2024-06-03,3,13563,0.09253115092531151,0.2530170360041666,0.1474610549994395,50.0,1.5860557768924304,0.9633466135458167,4.566135458167331,0.24025472083870827,1.718780831116506,2.8855710388557103,0.17786563841066994
MSFT_2024-06-03,4,10815,0.10402219140083217,0.1945130189997144,0.16104414000437828,50.0,1.3373333333333333,2.3684444444444446,5.885777777777778,1.1536661953729994,3.8838379494159416,2.7550161812297733,0.040212039194035584
MSFT_2024-06-03,5,24884,0.08467288217328404,0.4569602620031219,0.1786571799966623,50.0,1.6542477456098719,1.7916468913146655,2.198860939724727,1.1750387079771376,2.4333319605969757,2.67282189358624,0.07461162714138433
MSFT_2024-06-03,6,27108,0.07189759480596133,0.44486275199597003,0.1769526845018845,50.0,1.7170343766033864,1.3168291431503336,3.2044638276038993,0.6617725935863025,2.0072483073594807,2.798196104471005,0.10650672154397184
MSFT_2024-06-03,7,44227,0.046871820381215096,0.38272292300098343,0.11951136900461279,40.0,1.8157260009647853,1.811625663289918,0.6123974915581283,1.1077668772374245,2.6349114559974294,2.8469600018088497,0.04852800514956351
MSFT_2024-06-03,8,56510,0.0652096973986905,0.4461150170027395,0.12635426899942104,25.0,1.5453188602442334,1.5344640434192673,1.0421981004070557,0.9800112012656081,2.0728382945226347,2.724349672624314,0.07759208181951155
MSFT_2024-06-03,9,42499,0.17642768065130945,0.9906509284992353,0.16672218199528288,10.0,1.7191251000266738,1.867898106161643,1.278007468658309,1.404313996967901,2.333612907494222,2.5622838184427867,0.12250886069516966
MSFT_2024-10-01,0,150113,0.15207210568038745,0.009116683999309316,0.01894837900181301,25.0,0.9040213772560014,0.8095978622743999,0.4971964254424391,0.5513895926405071,1.088389465520797,2.54344060807525,0.2636691172726
MSFT_2024-10-01,1,9041,0.0919146112155735,0.09242457900109002,0.15515850100200623,50.0,1.0210589651022863,0.8598074608904934,0.4139590854392298,0.0913394522969,1.6964453024713404,2.542639088596394,0.1546768148018586
MSFT_2024-10-01,2,15897,0.07215197836069699,0.17670810500567313,0.34176688300067326,50.0,0.9803836094158674,1.2136006974716653,1.7353966870095903,0.35285870992006135,2.033252255111135,3.0740076744039757,0.13423204394170976
MSFT_2024-10-01,3,12424,0.09038956857694784,0.21106635599426227,0.278445466003177,100.0,1.344167408726625,0.8156723063223509,2.952359750667854,0.16922497651295704,1.501138515136117,2.7940276883451385,0.17882268947292262
MSFT_2024-10-01,4,8684,0.09880239520958084,0.11351458700301009,0.23325491749710636,50.0,1.0110722610722611,1.3065268065268065,2.37995337995338,0.4398864175179965,2.1943337880195024,2.7268539843390145,0.14033172714911038
MSFT_2024-10-01,5,24724,0.10884161138974276,0.18285853799898177,0.1372020809976675,25.0,1.1623931623931625,1.1793013749535488,1.5395763656633221,0.6396440096606221,1.8025339567435321,2.82163080407701,0.17875378149859386
MSFT_2024-10-01,6,16569,0.0991007302794375,0.29519964199789683,0.1545307699998375,50.0,1.567904993909866,1.5012180267965896,1.2862362971985384,0.6332715064908433,2.632782519816437,2.8749170137002835,0.13613457278627952
MSFT_2024-10-01,7,24173,0.06180449261572829,0.25268757049707347,0.06397105899668531,40.0,1.2423025435073627,1.7918340026773762,2.7406291834002676,0.8739321311254106,2.802037491340089,2.995656310759939,0.07440162695053773
MSFT_2024-10-01,8,33597,0.061136410989076406,0.3373989324973081,0.09138993600208778,25.0,1.1769717624148004,1.1940116845180135,1.5976144109055501,0.433674310192277,2.1894600035218033,3.144879007054201,0.11926902641573145
MSFT_2024-10-01,9,30118,0.12311574473736636,0.49117880999619956,0.06190017699918826,10.0,1.1882416396979503,1.1286407766990292,1.542745415318231,0.5853886170503803,1.7925816326530613,2.772777076831131,0.2024190650405018
MSFT_2024-12-02,0,52550,0.23693625118934347,0.044257918001676444,0.04053406399907544,71.0,1.4783551521966107,1.5545739298048349,0.9445426070195165,1.1244332146907992,2.003223307683654,3.3456327307326355,0.4243667579515137
MSFT_2024-12-02,1,2818,0.16181689141234917,0.6663393759990868,0.17749970449585817,100.0,1.599780701754386,1.2171052631578947,1.1929824561403508,0.003521039909229952,2.364004112731011,3.1556068133427964,0.3136822948489408
MSFT_2024-12-02,2,4901,0.128953274841869,0.8696824569997261,1.0345275009967736,57.0,1.7136075949367089,2.151107594936709,2.0490506329113924,1.2827102975270481,2.935761629556091,3.4333809426647623,0.16535334743197913
MSFT_2024-12-02,3,2783,0.2116421128278836,0.6909684400015976,0.4820103959937114,100.0,1.632427843803056,2.6460101867572154,5.040747028862479,1.7265440170146626,3.6185261156694013,3.1496586417535033,0.1065932231379136
MSFT_2024-12-02,4,2486,0.21359613837489944,0.5353935389939579,0.5077985405005165,100.0,1.8389830508474576,1.9180790960451977,1.677024482109228,0.9349474972239291,3.1149954577582846,3.1265084473049076,0.25811584292795897
MSFT_2024-12-02,5,9729,0.1692876965772433,0.8072958720003953,0.20428351499867858,100.0,1.8609593199757135,2.33090467516697,2.917425622343655,1.5208357563152601,3.0327791675132056,3.54630486175352,0.20575229800678876
MSFT_2024-12-02,6,4691,0.20528671924962694,0.9910597260022769,0.3703986949985847,88.0,2.159397715472482,2.7320872274143304,2.149532710280374,1.7106729298089316,3.6059834830383695,3.2577275634193135,0.10790698008373453
MSFT_2024-12-02,7,4553,0.2115088952339117,1.4295151889964473,0.5509633100009523,40.0,2.2487019730010385,2.9626168224299065,2.2892004153686396,2.1321391466590054,3.7101498269905893,3.0270151548429607,0.01362082014359129
MSFT_2024-12-02,8,7808,0.16713627049180327,1.143191418996139,0.9760750554996775,25.0,2.1582375478927203,2.9034482758620688,2.7379310344827585,2.3595481607437874,3.5007007952021048,3.747310450819672,0.1410399767315154
MSFT_2024-12-02,9,15372,0.2364689045016914,1.670951223000884,0.6030674600042403,10.0,2.343878954607978,3.121733149931224,2.721458046767538,2.5930282549072987,3.6447107051082073,3.2848685922456413,0.03857645932948909
INTC_2024-02-01,0,15348,0.29945269741985925,0.0002577585037215613,0.005489980499987723,100.0,0.41677545691906004,0.34812880765883375,0.461053089643168,0.2660212278932317,0.43291443401539326,0.5620927808183477,0.0640720889132868
INTC_2024-02-01,1,996,0.12650602409638553,0.20265799250046257,0.012248751998413354,200.0,0.5119047619047619,0.18253968253968253,-0.14682539682539683,-0.2659848484848485,0.613972866752324,0.6370481927710844,0.05749806454734601
INTC_2024-02-01,2,1173,0.13810741687979539,0.14234887450220413,0.007249046997458208,400.0,0.7530864197530864,1.021604938271605,0.6790123456790124,0.5924519037066882,1.4760584712927087,0.5942028985507246,-0.0590273916750065
INTC_2024-02-01,3,2903,0.08715122287289011,0.09531966099893907,0.012908666998555418,200.0,0.5790513833992095,0.6996047430830039,0.6818181818181818,0.4896276859504132,0.917428032635468,0.5780227351016191,-0.010596020674919175
INTC_2024-02-01,4,4050,0.05333333333333334,0.5495126675014035,0.07381273600185523,800.0,0.5856481481481481,0.4722222222222222,1.2986111111111112,0.2415801886792453,0.7070306909660107,0.5390123456790124,0.0035621399176954745
INTC_2024-02-01,5,16605,0.08678109003312255,0.3792885209986707,0.0896199679991696,200.0,0.5218598195697433,0.49757113115891743,0.6023594725884802,0.3644688643875049,0.6372485593545908,0.5444745558566697,0.0040703303215574235
