session,front_edge_ticks,back_edge_ticks,front_minus_back_ticks,front_fill_prob,back_fill_prob,front_adverse_10s,back_adverse_10s,orders,censored,fill_prob
MSFT_2024-02-01,0.1025031430872462,0.11235773891480551,-0.009854595827559307,0.11223678025143739,0.22542349021632022,1.15658057241046,1.5326810990840967,320238,0.0,0.11527051755257027
MSFT_2024-04-01,0.025524745258147737,0.03754778683287492,-0.012023041574727184,0.0913364345423385,0.14388430759231424,1.6993949605575553,1.6751835121400338,315354,3.171039530178783e-06,0.0900480095384869
MSFT_2024-06-03,0.1224707251172029,0.12250886069516966,-3.813557796675249e-05,0.14997575621946216,0.17642768065130945,1.7665588991129901,1.867898106161643,316151,0.0,0.10589560052000468
MSFT_2024-10-01,0.2636691172726,0.2024190650405018,0.0612500522320982,0.15207210568038745,0.12311574473736636,0.8095978622743999,1.1286407766990292,325340,0.0,0.11795659925001536
MSFT_2024-12-02,0.4243667579515137,0.03857645932948909,0.3857902986220246,0.23693625118934347,0.2364689045016914,1.5545739298048349,3.121733149931224,107691,1.8571654084371025e-05,0.21517118422152268
INTC_2024-02-01,0.0640720889132868,0.015181238852761975,0.048890850060524835,0.29945269741985925,0.0825549483617805,0.34812880765883375,0.4556389881169352,337794,0.0,0.08529162744157683
INTC_2024-04-01,0.026725325883588974,0.014222125228621154,0.01250320065496782,0.3382166144466085,0.07796217676572752,0.4371557336004006,0.44234577303884237,291622,0.0,0.0988574250228035
INTC_2024-08-02,-0.021298882094902043,-0.011546692855843445,-0.009752189239058597,0.47913348200063716,0.10743398551931002,0.5957077423167849,0.7687989343192693,552156,0.0,0.1433652808264331
INTC_2024-10-01,-0.002087242251024605,0.009449162585460826,-0.011536404836485431,0.37395384225209233,0.06462859130198746,0.5083079009833842,0.46941855886599293,355105,1.6896410920713593e-05,0.07615494008814294
INTC_2024-12-02,0.03566365194266944,0.0022048318681053974,0.03345882007456404,0.42769041011409187,0.0954177897574124,0.4303352559480894,0.625854891465953,367804,2.7188393818446783e-06,0.11554795488901698
AAPL_2024-02-01,0.033291583549722746,0.016021510841413063,0.017270072708309683,0.19679043351036254,0.11486439619893182,0.6269172228076337,0.6731582125603864,521810,0.0,0.1170483509323317
AAPL_2024-04-01,0.044352765899583306,0.02463572174015169,0.019717044159431617,0.32599991911675497,0.11379175701384908,0.44274903858082126,0.45615828283565746,399695,0.0,0.12566331828018865
AAPL_2024-06-03,-0.03364295310226852,0.03328867454044249,-0.06693162764271102,0.33521757127334817,0.13153749390872724,0.7671618753617596,0.5513483242870681,493182,0.0,0.16800897031927362
AAPL_2024-08-01,-0.012701858179185607,0.011844680978937263,-0.024546539158122868,0.25942720948408615,0.11253502775447552,1.0661595824011931,1.1511498810467882,604941,0.0,0.15513579010184464
AAPL_2024-10-01,0.04479892325532964,0.03221951214581335,0.012579411109516284,0.16533868173944755,0.06020413518052057,0.4459086898985443,0.4253105251688821,1014799,0.0,0.09593229792303698
