queue,n,cls,exposure,add,cancel,exec,move,lambda_add,lambda_cancel,lambda_exec,lambda_move
-1,0,0,22616.552272095883,6834.0,0.0,25.0,28188.0,0.30216807220575936,0.0,0.001105385104645008,1.2463438131893394
-1,0,1,148.72766240817873,117.0,0.0,9.0,326.0,0.7866727554615691,0.0,0.06051328888165917,2.1919257972689876
-1,0,2,178.28538620185282,345.0,0.0,11.0,1144.0,1.9350997148436757,0.0,0.061698831487769376,6.416678474728015
-1,0,3,62.60541776481841,184.0,0.0,4.0,400.0,2.9390427628996703,0.0,0.06389223397607979,6.389223397607979
-1,1,0,178.87658176723926,999.0,717.0,652.0,192.0,5.5848562742547,4.008350298939559,3.6449712620761403,1.0733657704273296
-1,1,1,11.874416346923681,76.0,53.0,209.0,94.0,6.4003145737507685,4.46337726853672,17.600865077814614,7.9161785517443715
-1,1,2,17.035755476958002,136.0,125.0,516.0,161.0,7.983209208652301,7.337508463834836,30.2892349387102,9.450710901419269
-1,1,3,6.847917957064055,88.0,91.0,268.0,68.0,12.850621247473109,13.28871060818242,39.13598289003174,9.93002550941104
-1,2,0,44.768246537831146,607.0,338.0,249.0,40.0,13.558717326287466,7.549994161919544,5.561977947686292,0.8934904333632596
-1,2,1,3.719577967065561,52.0,26.0,77.0,21.0,13.980080659802297,6.990040329901149,20.70127328470725,5.645801804920159
-1,2,2,6.591143009070947,109.0,72.0,206.0,49.0,16.537344107082887,10.923750235871266,31.254063174853897,7.4342189105235
-1,2,3,4.666457003062533,84.0,43.0,125.0,17.0,18.000808738808036,9.214699711532685,26.786917766083388,3.6430208161873407
-1,3,0,16.312804705085,166.0,157.0,54.0,4.0,10.176055129762863,9.624341297426323,3.310282994019245,0.24520614770512925
-1,3,1,2.134831320006924,24.0,17.0,20.0,0.0,11.242106003917048,7.963158419441243,9.368421669930873,0.0
-1,3,2,4.170153410064813,51.0,56.0,54.0,3.0,12.229765906671368,13.428762564188169,12.94916390118145,0.7193979945100805
-1,3,3,2.755005358005292,41.0,32.0,61.0,0.0,14.88200372491662,11.615222419447118,22.14151773707107,0.0
-1,4,0,17.641417142978753,166.0,133.0,39.0,6.0,9.409674894857732,7.539076873590834,2.2107067524063346,0.3401087311394361
-1,4,1,1.2148190810112283,25.0,14.0,24.0,0.0,20.57919602249722,11.524349772598445,19.756028181597333,0.0
-1,4,2,3.6982570859545376,47.0,27.0,70.0,1.0,12.708689230529542,7.300736366474418,18.927835024192934,0.2703976432027562
-1,4,3,2.30775100999017,19.0,24.0,44.0,3.0,8.23312390190696,10.399735455040371,19.066181667574014,1.2999669318800464
-1,5,0,14.320730864958023,67.0,51.0,24.0,1.0,4.678532166535231,3.5612707536312946,1.6758921193559033,0.06982883830649597
-1,5,2,1.8713721390304272,20.0,23.0,16.0,2.0,10.68734517462794,12.29044695082213,8.54987613970235,1.0687345174627938
-1,5,3,1.08562829397124,15.0,11.0,24.0,1.0,13.816883811244304,10.132381461579158,22.107014097990888,0.921125587416287
-1,6,0,9.034866266003519,48.0,39.0,18.0,2.0,5.312751576701789,4.316610656070203,1.9922818412631709,0.22136464902924122
-1,6,2,1.0598408990044845,20.0,11.0,25.0,0.0,18.870756939825714,10.378916316904142,23.588446174782142,0.0
-1,6,3,1.049376391019905,8.0,15.0,20.0,0.0,7.6235753619582365,14.294203803671694,19.058938404895592,0.0
-1,7,0,4.585766136959137,65.0,27.0,28.0,0.0,14.174294558139437,5.8877838933809965,6.105849963506219,0.0
-1,7,1,1.0514885699813021,13.0,5.0,8.0,0.0,12.363424930269256,4.755163434718945,7.608261495550312,0.0
-1,7,2,1.8000947869804804,17.0,5.0,27.0,0.0,9.443947131537547,2.777631509275749,14.999210150089045,0.0
-1,7,3,2.342062978998001,13.0,7.0,33.0,0.0,5.550662008910519,2.9888180047979716,14.090142022619009,0.0
-1,8,0,5.644732867025596,55.0,45.0,19.0,0.0,9.743596605127108,7.972033586013088,3.365969736316637,0.0
