queue,n,exposure,add,cancel,exec,move,lambda_move,lambda_add,lambda_add_lo,lambda_add_hi,lambda_cancel,lambda_cancel_lo,lambda_cancel_hi,lambda_exec,lambda_exec_lo,lambda_exec_hi,lambda_total
-3,0,8261.845324672402,11127.0,0.0,2.0,0.0,0.0,1.3467935506818758,1.3218841964080985,1.3720543499023843,0.0,0.0,0.00044649582619246225,0.00024207666948537358,2.9316607734189096e-05,0.0008744641643373336,1.3470356273513613
-3,1,7334.378958091605,21396.0,15366.0,8098.0,0.0,0.0,2.9172204111971887,2.8782610266923996,2.95657533009225,2.0950649111261916,2.0620685311906173,2.128456989539,1.1041152967785957,1.0801969902004247,1.1284297076341199,6.1164006191019755
-3,2,2827.5354573250224,13141.0,10354.0,2421.0,0.0,0.0,4.647510242871361,4.568384707374646,4.727662412420738,3.661846210690973,3.591648495670303,3.733070941448811,0.8562226845743525,0.8224523639556395,0.8910236430710724,9.165579138136685
-3,3,1651.3245916706655,8844.0,8876.0,1059.0,0.0,0.0,5.355700535563645,5.244655726098126,5.468504363775728,5.375078918324617,5.263832354370583,5.488084489673862,0.6413033544959181,0.6032555196896376,0.6811220626987025,11.37208280838418
-3,4,1151.4303183207812,6151.0,7701.0,777.0,0.0,0.0,5.342051448645606,5.209375307916703,5.477252083145972,6.688203252482492,6.539650445690566,6.839279403604963,0.6748128719879102,0.6281924094787775,0.723977370288056,12.705067573116008
-3,5,871.9213445345449,4557.0,5880.0,465.0,0.0,0.0,5.226388857853514,5.075734475134254,5.380379312744648,6.743727558520662,6.572447287461936,6.918341917386315,0.5333049854952565,0.485927536706745,0.5840536590007805,12.503421401869433
-3,6,451.40290513990476,2392.0,3051.0,207.0,0.0,0.0,5.29903545759999,5.088785527255395,5.515741449201433,6.758928587432094,6.521202938544739,7.003105240592855,0.45857037613846063,0.3982247139797806,0.5254771578702638,12.516534421170544
-3,7,406.20902873703744,1531.0,2269.0,207.0,0.0,0.0,3.768995496629162,3.582544794940143,3.9626327934273644,5.585794109635251,5.358299821507748,5.820464056926737,0.5095898548675615,0.4425302740017369,0.5839405302850912,9.864379461131975
-3,8,170.50959319820686,761.0,1230.0,67.0,0.0,0.0,4.463091992222306,4.151586241434546,4.791779437190604,7.213670368506487,6.81611740335298,7.628360985210116,0.3929397680405972,0.30452292302898176,0.4990196154470162,12.06970212876939
-3,9,117.90882910481014,443.0,985.0,70.0,0.0,0.0,3.757140185034096,3.4153735465952817,4.12384593830131,8.353912149567911,7.840292099055296,8.892342787450662,0.5936790360099024,0.4628019336824993,0.7500777465394317,12.70473137061191
