line_number,markdown_row
792,| session | orders | fill prob | front fill | back fill | front adverse 10s | back adverse 10s | front edge | back edge | front - back |
793,|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|
794,"| MSFT 2024-02-01 | 320,238 | 0.115 | 0.112 | 0.225 | 1.157 | 1.533 | +0.103 | +0.112 | -0.010 |"
795,"| MSFT 2024-04-01 | 315,354 | 0.090 | 0.091 | 0.144 | 1.699 | 1.675 | +0.026 | +0.038 | -0.012 |"
796,"| MSFT 2024-06-03 | 316,151 | 0.106 | 0.150 | 0.176 | 1.767 | 1.868 | +0.123 | +0.123 | -0.000 |"
797,"| MSFT 2024-10-01 | 325,340 | 0.118 | 0.152 | 0.123 | 0.810 | 1.129 | +0.264 | +0.202 | +0.061 |"
798,"| MSFT 2024-12-02 | 107,691 | 0.215 | 0.237 | 0.237 | 1.555 | 3.122 | +0.424 | +0.039 | **+0.386** |"
799,"| INTC 2024-02-01 | 337,794 | 0.085 | **0.300** | 0.083 | 0.348 | 0.456 | +0.064 | +0.015 | +0.049 |"
800,"| INTC 2024-04-01 | 291,622 | 0.099 | **0.338** | 0.078 | 0.437 | 0.442 | +0.027 | +0.014 | +0.013 |"
801,"| INTC 2024-08-02 | 552,156 | 0.143 | **0.479** | 0.107 | 0.596 | 0.769 | -0.021 | -0.012 | -0.010 |"
802,"| INTC 2024-10-01 | 355,105 | 0.076 | **0.374** | 0.065 | 0.508 | 0.469 | -0.002 | +0.009 | -0.011 |"
803,"| INTC 2024-12-02 | 367,804 | 0.116 | **0.428** | 0.095 | 0.430 | 0.626 | +0.036 | +0.002 | +0.034 |"
804,"| AAPL 2024-02-01 | 521,810 | 0.117 | 0.197 | 0.115 | 0.627 | 0.673 | +0.033 | +0.016 | +0.017 |"
805,"| AAPL 2024-04-01 | 399,695 | 0.126 | 0.326 | 0.114 | 0.443 | 0.456 | +0.044 | +0.025 | +0.020 |"
806,"| AAPL 2024-06-03 | 493,182 | 0.168 | 0.335 | 0.132 | 0.767 | 0.551 | -0.034 | +0.033 | -0.067 |"
807,"| AAPL 2024-08-01 | 604,941 | 0.155 | 0.259 | 0.113 | 1.066 | 1.151 | -0.013 | +0.012 | -0.025 |"
808,"| AAPL 2024-10-01 | 1,014,799 | 0.096 | 0.165 | 0.060 | 0.446 | 0.425 | +0.045 | +0.032 | +0.013 |"
