session,messages,events_modelled,share_modelled,median_spread,inside_window,aes_ask,aes_bid,pref_moves,depletions,theta
MSFT_2024-02-01,6199582,693905,0.111927707384143,4.0,0.8457657396312683,69.31963621879979,73.10495734719935,99875,32159,3.1056624895052707
MSFT_2024-04-01,5248879,723621,0.13786200824976153,4.0,0.893890499851279,68.21396441224474,73.31704997112477,74502,28360,2.627009873060649
MSFT_2024-06-03,3862854,490034,0.1268580174140674,5.0,0.7080668221210273,55.966268886536426,55.6980498049805,60597,8260,7.3361985472154965
MSFT_2024-10-01,4309570,490854,0.11389860241276972,5.0,0.6415548933317415,37.145765865086474,35.76693788139571,110537,15073,7.333443906322564
MSFT_2024-12-02,2148069,141394,0.06582377009304637,6.0,0.5570561302407252,61.35012705778367,49.34424037089872,38955,5637,6.910590739755189
INTC_2024-02-01,1262281,896409,0.7101501171292287,1.0,0.9999886766746543,223.2236842944527,235.12700831439665,6790,12099,0.5612034052401025
INTC_2024-04-01,1006840,714516,0.7096619125183743,1.0,1.0,143.1264238148239,147.2176118570632,4880,9688,0.5037159372419489
INTC_2024-08-02,2051624,1329413,0.6479808190974564,1.0,0.999932936545938,370.2499165397949,300.6293959175825,13170,26044,0.5056826908309016
INTC_2024-10-01,1141979,815329,0.7139614651407775,1.0,0.9999986185228006,411.4257248044179,416.163679120547,4300,7215,0.5959805959805959
INTC_2024-12-02,1464365,916147,0.6256274904139337,1.0,1.0,386.3456106412846,372.5643353918798,6990,12090,0.5781637717121588
AAPL_2024-02-01,3635712,1361141,0.3743808640508379,1.0,0.9979257065368493,78.00103724122252,79.1914221867814,47652,66805,0.7132999027018936
AAPL_2024-04-01,2008772,1011309,0.5034463841590783,1.0,0.9999148939235388,102.60201025996797,103.45611732436319,14865,22686,0.6552499338799259
AAPL_2024-06-03,3232776,1329578,0.4112805836222491,1.0,0.9998216248589678,79.23914565089255,81.22410177374402,36938,68966,0.5355972508192443
AAPL_2024-08-01,5025170,1507119,0.29991403275909073,2.0,0.9966123541252193,63.01355944031543,63.680397703496645,67885,88833,0.7641867324080015
AAPL_2024-10-01,8823265,2848962,0.3228920359980121,2.0,0.9995729005918451,44.09221486484988,45.09487285074305,91653,190127,0.48206199014343043
