session,real_windows,auc_base,windows_base,auc_timing_base,auc_no_timing_base,top_family_base,auc_hawkes,windows_hawkes,auc_timing_hawkes,auc_no_timing_hawkes,top_family_hawkes
MSFT_2024-02-01,3469,1.0,3890,1.0,0.9997225988128546,timing,0.9999391571628986,5471,0.9998005056975807,0.998793673749007,timing
MSFT_2024-04-01,3618,1.0,3762,1.0,0.9998018096491786,timing,0.9999413576087879,4918,0.9998708619682881,0.998084764457221,timing
MSFT_2024-06-03,2450,1.0,3360,1.0,0.9991429111327071,timing,0.9998540713652192,5190,0.9985293539381069,0.9911525303763123,timing
MSFT_2024-10-01,2454,0.9999999999999999,3098,1.0,0.9995733987844788,timing,0.9999729227912734,4683,0.9998636469131982,0.9985948862757233,timing
MSFT_2024-12-02,706,1.0,889,1.0,0.9999116670199986,timing,0.9998139257936065,1690,0.9917848237877265,0.9970135089873843,event mix
INTC_2024-02-01,4482,1.0,5053,1.0,0.9997758727231709,timing,0.9975768405319434,12932,0.9906257425363125,0.9956154907446441,book shape
INTC_2024-04-01,3572,1.0,4280,1.0,0.9999026479750779,timing,0.993939078162351,9905,0.987002759586991,0.9904905360478897,book shape
INTC_2024-08-02,6647,0.9999952361401995,7719,0.9999906888194808,0.9997167668809538,timing,0.995011364838976,17597,0.9912111785251567,0.991243478493826,event mix
INTC_2024-10-01,4076,0.9995911692559281,5546,0.9995911692559281,0.9999665859488018,timing,0.9957223877817797,14520,0.9924063161909739,0.9938504572972721,book shape
INTC_2024-12-02,4580,0.99745269286754,5470,0.99999600839833,0.99745269286754,book shape,0.9996725445838874,6556,0.9880310420334353,0.9994483208752273,book shape
AAPL_2024-02-01,6805,1.0,6957,1.0,0.9992758680080551,timing,0.9986584137871667,15663,0.9782482321139033,0.9904619504556266,timing
AAPL_2024-04-01,5056,1.0,5737,1.0,0.9993385060348396,timing,0.9971580068852007,14625,0.9803928314111298,0.9852026471187375,event mix
AAPL_2024-06-03,6647,1.0,6821,1.0,0.9995281543555398,timing,0.9995008012543377,14498,0.9940433945514706,0.9942561016382481,timing
AAPL_2024-08-01,7535,1.0,7656,1.0,0.9992640825090204,timing,0.9998149246304782,15064,0.9973479707625936,0.9945114533858173,timing
AAPL_2024-10-01,14244,1.0,14409,1.0,0.9992551501368625,timing,0.999965028535408,19697,0.9985708433750877,0.9970658426338749,timing
