family,importance,session,model
timing,0.27435405446117905,MSFT_2024-02-01,base
event mix,4.4408920985006264e-17,MSFT_2024-02-01,base
order flow,1.1102230246251566e-17,MSFT_2024-02-01,base
book shape,0.0,MSFT_2024-02-01,base
timing,0.19709177088927668,MSFT_2024-02-01,hawkes
event mix,0.0068872921544332446,MSFT_2024-02-01,hawkes
order flow,0.004285675841064551,MSFT_2024-02-01,hawkes
book shape,8.775409197414596e-06,MSFT_2024-02-01,hawkes
timing,0.5050210261203464,MSFT_2024-04-01,base
book shape,0.0,MSFT_2024-04-01,base
event mix,0.0,MSFT_2024-04-01,base
order flow,0.0,MSFT_2024-04-01,base
timing,0.20320380851138165,MSFT_2024-04-01,hawkes
order flow,0.008407073021006451,MSFT_2024-04-01,hawkes
event mix,0.002254862327628837,MSFT_2024-04-01,hawkes
book shape,0.000341997434707364,MSFT_2024-04-01,hawkes
timing,0.2772905868696685,MSFT_2024-06-03,base
book shape,2.2204460492503132e-17,MSFT_2024-06-03,base
event mix,1.1102230246251566e-17,MSFT_2024-06-03,base
order flow,0.0,MSFT_2024-06-03,base
timing,0.13384504476164263,MSFT_2024-06-03,hawkes
order flow,0.05467605153814903,MSFT_2024-06-03,hawkes
event mix,0.004200297974038725,MSFT_2024-06-03,hawkes
book shape,0.0007089335413035025,MSFT_2024-06-03,hawkes
timing,0.2577666257597007,MSFT_2024-10-01,base
book shape,-9.992007221626409e-17,MSFT_2024-10-01,base
event mix,-9.992007221626409e-17,MSFT_2024-10-01,base
order flow,-1.1102230246251565e-16,MSFT_2024-10-01,base
timing,0.11554589586879152,MSFT_2024-10-01,hawkes
event mix,0.003352158440352737,MSFT_2024-10-01,hawkes
order flow,0.0007071986693485633,MSFT_2024-10-01,hawkes
book shape,-1.353860436338339e-05,MSFT_2024-10-01,hawkes
timing,0.2454808847431277,MSFT_2024-12-02,base
event mix,1.1102230246251566e-17,MSFT_2024-12-02,base
order flow,1.1102230246251566e-17,MSFT_2024-12-02,base
book shape,0.0,MSFT_2024-12-02,base
event mix,0.043526478359569784,MSFT_2024-12-02,hawkes
timing,0.03912582337836333,MSFT_2024-12-02,hawkes
order flow,0.023783074690186444,MSFT_2024-12-02,hawkes
